Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
2:11	p7gx		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֣י ׀ בַּ⁠יָּמִ֣ים הָ⁠הֵ֗		1	This introduces a new event in the story. In your language, use a phrase that indicates a new event occurring after significant time has passed.
12:21	y9qt		rc://*/ta/man/translate/writing-newevent	summoned		0	A new scene begins at this verse, which may need to be marked in a certain way in your language.
15:14	qlpy		rc://*/ta/man/translate/figs-parallelism	tremble		0	Verses 14–16a form a complex parallel structure where things are repeated in reverse. (See the [introduction to chapter 15](../15/intro.md))
15:21	f6m3		rc://*/ta/man/translate/figs-explicit	גָאֹ֣ה גָּאָ֔ה		1	If it would be helpful to your readers, you could state explicitly over whom Yahweh triumphed. See how you translated this in [Exodus 15:1](../15/01.md). Alternate translation: “he has achieved a glorious victory over the army of Egypt”
15:21	hvu1		rc://*/ta/man/translate/figs-metaphor	ס֥וּס וְ⁠רֹכְב֖⁠וֹ רָמָ֥ה בַ⁠יָּֽם		1	Miriam sang about God causing the **sea** to cover and drown the **horse and the one riding it** as if God had thrown them **into the sea**. See how you translated this in [Exodus 15:1](../15/01.md). If your readers would not understand what this image means in this context, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning plainly. Alternate translation: “he has made the horse and rider drown in the sea”
16:34	x9vr		rc://*/ta/man/translate/writing-background	wafers		0	Verses 34–36 provide a later commentary on the chapter. If your language has a way of marking background information you may want to use it starting from verse 34 or verse 35. You may want to leave verse 34 more connected to verse 33 even though it references the **Covenant**, which has not been given yet.
21:1	xxf4			you must set before them		0	Yahweh continues speaking to Moses. There is no quote break between chapters.
21:8	lpqh			has designated		0	This verse is the first of three possible situations between a master and his female slave.
21:9	h9ni			he has treated her deceitfully		0	This verse is the second of three possible situations between a master and his female slave.
21:10	i0xh			designates her as a wife for his son		0	This verse and the next are the third of three possible situations between a master and his female slave.
24:1	hji6		rc://*/ta/man/translate/writing-newevent	Nadab … Abihu		0	A new scene begins here, which may need to be marked in a certain way in your language.
24:3	sbc3		rc://*/ta/man/translate/writing-newevent	with one voice		0	Verses 3–8 tell of a different scene than the rest of the chapter, which may need to be marked in a certain way in your language. It seems that there were some preparations needed before Moses and the elders could go up to meet Yahweh.
24:3	nuqr			with one voice		0	See [Exodus 19:8](../19/08.md) for how you translated a very similar event.
24:9	izl5		rc://*/ta/man/translate/writing-newevent	Nadab … Abihu		0	A new scene begins with this verse, which may need to be marked in a certain way in your language. Here the narrative is connected to [24:2](../24/02.md).
25:24	f20e			two cubits … one cubit … a cubit and a half		0	This verse is almost identical to [25:11](../25/11.md).
26:10	etf7			loops		0	See how you translated a very similar text in [Exodus 26:4](../26/04.md).
26:36	tiz7			The table must be on the north side		0	See how you translated very similar text in [Exodus 26:1](../26/01.md).
26:37	av60			an embroiderer		0	See how you translated very similar instructions in [26:32](../26/32.md).
27:11	gjg5			there must be hangings one hundred cubits long		0	See how you translated many similar words in [Exodus 27:9–10](../27/09.md).
27:16	kn9u			blue, purple, and scarlet material and fine twined linen		0	See how you translated a nearly identical passage in [26:36](../26/36.md).
29:10	wjko			tent of meeting		0	The purpose of the sacrifice explained here through verse 14 is to purify or cleanse the altar. This is made more clear in [29:36–37](../29/36.md).
30:4	qyg4			to be attached to it		0	When translating this verse, you may want to refer back to several other passages regarding making rings for carrying poles. See [Exo 25:12](../25/12.md), [Exo 25:26](../25/26.md), [Exo 25:27](../25/27.md), and [Exo 27:4](../27/04.md).
32:1	oan6		rc://*/ta/man/translate/writing-newevent	the people saw		0	This chapter begins with a major scene shift, which may need to be marked in a certain way in your language.
32:7	iajs		rc://*/ta/man/translate/writing-newevent	to carouse in wild celebration		0	Here there is a scene shift back to the top of the mountain with Moses and Yahweh, which may need to be marked in a certain way in your language.
33:4	qwuu		rc://*/ta/man/translate/translate-versebridge	jewelry		0	Yahweh’s statement to Moses in verse 5 seems to have happened before the people’s reaction in verse 4, so in some languages you may need to reverse them.
33:7	wsfe		rc://*/ta/man/translate/grammar-connect-time-background	a stubborn people		0	Verses 7–11 seem to be background, general information about a somewhat unspecified time period. Be sure this is clear in how you structure these verses. See the beginning of verse 7 in the UST.
33:12	ohra		rc://*/ta/man/translate/writing-newevent	See		0	A new scene begins here, which may need to be marked in a certain way in your language.
33:12	hlsl		rc://*/ta/man/translate/figs-quotations	הַ֚עַל אֶת־הָ⁠עָ֣ם הַ⁠זֶּ֔ה & דַעְתִּ֣י⁠ךָֽ בְ⁠שֵׁ֔ם וְ⁠גַם־מָצָ֥אתָ חֵ֖ן בְּ⁠עֵינָֽ⁠י		1	You may want to make these two second-level quotations indirect to reduce the levels of quotation. See the UST.
34:10	zwsm			your people		0	Starting in this verse, the covenant is largely repeated and consists of two parts: (1) what Yahweh will do, which is detailed in verses 10–11 (and briefly restated in verse 24) and (2) what is required of the Israelites, which is detailed in verses 12–26. For further context, see [Exodus 19:5 and following](../19/05.md), and [23:20–24:8](../23/20.md). Verses 12–26 are another list of ten commandments.
