Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	v8pn				0	# Introduction to Judges\n\n## Part 1: General Introduction\n\n### Outline of Judges\n\nA. Introduction: the tribes conquer their territories (1:1–3:6)\nB. History of the judges of Israel (3:7–16:31)\n        Othniel, Ehud, and Shamgar (3:7–31)\n        Deborah and Barak (4:1–5:31)\n        Gideon (6:1–8:35)\n        Abimelek (9:1–57)\n        Tola and Jair (10:1–5)\n        Jephthah (10:6–12:7)\n        Ibzan, Elon, and Abdon (12:8–15)\n        Samson (13:1–16:31)\nC. Dan becomes a center of idolatry (17:1–18:31)\nD. Outrage at Gibeah, civil war against Benjamin (19:1–21:25)\n\n### What is the book of Judges about?\n\nThe book of Judges tells of events that occurred after the Israelites settled in the land of Canaan. The events in this book happened over a period of about 150 years. The book continues the biblical narrative directly from the book of Joshua. It begins, “After the death of Joshua,” resuming the story at the point it had reached at the end of the book of Joshua.\n\nThis book describes how the Israelites repeatedly sinned against Yahweh during this time. They worshiped false gods and did the same wicked things as the peoples who lived around them. Therefore, God would allow enemies to defeat and oppress the Israelites. Eventually, the Israelites would call to Yahweh for help. Yahweh would then cause someone to help the Israelites defeat their enemies. This person was called a “judge.” The Israelites would live in peace until the judge died. After that judge died, the Israelites would start sinning again. So this pattern of events would repeat.\n\n### What title should translators give this book?\n\nThis book has traditionally had the title “Judges” because it gives accounts of some of the main leaders or judges in Israel before there were any kings ruling the people. Unless a translation of the Bible exists in your region that uses a different title, you should probably use the title “Judges” or a similar title such as “The Book about the Leaders in Israel.”\n\n## Part 2: Religious and Cultural Concepts in This Book\n\n### What kind of leaders were the judges?\n\nThe judges were men and women whom God chose to help the Israelites defeat their enemies. Afterwards these leaders usually continued to help the people by deciding disputes among them. They also helped them make important decisions. Many of these leaders served all the people of Israel, but some of these leaders may have served only certain tribes.\n\n### What kind of society was Israel during the time of the judges?\n\nDuring this time, the twelve tribes of Israel were independent of one another. They were not a unified nation with one ruler. However, they were descendants of the same ancestors, Abraham, Isaac, and Jacob. They also shared in the same covenant with Yahweh. So the tribes would often help each other when enemies were threatening them. However, the book of Judges tells of some times when the tribes fought against each other.\n\n## Part 3: Translation Issues in This Book\n\n### “the angel of Yahweh”\n\nIn many places in the book, the author speaks of a character whom he calls “the angel of Yahweh.” Interpreters are unsure about the exact identity of this character. When he speaks, sometimes the author says “the angel said” and sometimes the author says “Yahweh said.” So he is closely identified with Yahweh in some way, although it is not clear in precisely what way. We recommend that you translate this phrase using the same words that you use in the rest of your translation for “angel” and “Yahweh.” The UST models one way to do this. \n\n### “arose”\n\nIn many contexts, the author uses the expression “arose” to mean that a person took action or took on a particular role. It does not mean that he or she stood up from a sitting or lying position. Similarly, characters sometimes tell other characters to “arise,” meaning that they should take action. Notes will help clarify what the expression means in specific contexts. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “behold”\n\nThe author and characters often use the word “behold” to focus their listeners’ attention on what they are about to say. While the word literally means “look,” the speakers do not want their listeners to look at something, but to pay careful attention. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### “in the eyes of”\n\nThe author and characters often use the term “eyes” by association to mean sight; sight, in turn, represents attention, perspective, and judgment. For example, the author says in 2:11 that the Israelites “did evil in the eyes of Yahweh,” meaning that they did what Yahweh considered wrong and had said was wrong. Samson says to his parents in 14:3 about the woman he wants to marry, “she is right in my eyes,” meaning that he thinks she is the right one for him. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### “to the face of”\n\nThe author and characters often use the word “face” to represent the presence of a person or group, by association with the way people can see the face of someone who is present. The expression “to the face of” can have different shades of meaning, depending on the context. The focus may be more on the presence of a person, such as in 20:26, where the author says that the Israelites “sat … to the face of Yahweh.” He means that they were in the presence of Yahweh near his sacred tent. The focus may also be on something being in front of or near a person or thing. When the author says in 3:27 that Ehud was “to the face of” the Israelite soldiers who gathered to him, he means that Ehud was in front of them, that is, leading their army. Or the focus may be on the relationship between people or groups, as in 11:33, where the author says that “the sons of Ammon were subdued from the face of the sons of Israel.” This means that the Ammonites were subdued in relation to the Israelites, that is, they became subject to them. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\nIn other contexts, the author or a character may use the word “face,” describing part of a person, in order to represent the whole person as being present. For example, in 13:15, when Manoah tells the angel of Yahweh, “we will prepare to your face a kid of goats,” he means that he wants to remain present so that they can prepare the goat and serve it to him. (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### “into the hand of”/“into your hand”\n\nThe author and characters often use the word “hand” by association to represent the power and capability of a person. For example, the author says in 11:32 that when Jephthah went to fight the Ammonites, “Yahweh gave them into his hand.” This means that Yahweh gave him the power to defeat them. The word “hand” may also represent possession, as when the author says in 7:8 that Gideon’s soldiers “took provision into their hand.”  The word “hand” may also represent agency, as when the author speaks in 3:4 of the commandments that Yahweh gave the Israelites “by the hand of Moses.” In such cases, the author is using the hand, part of a person, to mean the whole person in the act of doing something. Notes will help distinguish the difference between these shades of meaning when that may not be clear from the context. (See: [[rc://*/ta/man/translate/figs-metonymy]] and [rc://*/ta/man/translate/figs-synecdoche]])\n\n### “hear,” “listen”\n\nThe author and characters often use the terms “hear” and “listen” to mean complying with what someone has said. When humans “hear” or “listen” in this sense, the terms mean “obey,” as when the author says negatively in 2:17 that the disobedient Israelites did not “hear the commandments of Yahweh.” When Yahweh “hears” or “listens” in this sense, it means that he does what someone asks in prayer. For example, when the author says in 13:9 that “God listened to the voice of Manoah,” he means that God answered Manoah’s prayer and sent the angel back to him and his wife. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### name of tribe, city, or kingdom representing its people\n\nThe author and characters often use the name of a tribe, city, or kingdom to represent its people. For example, in 1:12, when Caleb speaks of “whoever attacks Kiriath Sepher,” he is using the name of that city to refer by association to the people who live in it. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n### name of a person representing associated or accompanying people\n\nFor example, in 3:10, when the author says of Othniel that “he went out to war,” he is using Othniel, one person who was involved in this action, to represent everyone who was involved. He means that the army of Israel went out to war with Othniel commanding it. (See: [[rc://*/ta/man/translate/figs-synecdoche]])\n\n### “nose burned against”\n\nIn several places in the book, the author uses the term “nose” and the expression “burned” to mean anger. For example, in 2:14 he says that “the nose of Yahweh burned against Israel,” meaning that Yahweh became very angry with the Israelites. This is by association with the way that a person who is angry breathes heavily through his nose and the way the skin of a person who is angry becomes hotter. Your language and culture may also associate anger with a particular part and disposition of the body. If so, it may have a comparable expression that you can use in your translation. You could also use plain language and say “anger.” (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “shall”\n\nThe ULT uses the English auxiliary verb “shall” to translate instances where speakers use a statement that seems to describe what a person is going to do in order to give that person an instruction or a command. For example, when Deborah tells Barak in 4:6 “and you shall take with you 10,000 men,” this means “you are to take 10,000 men with you.” If it would be clearer in your language, you could translate such expressions using a command or instruction form. (See: [[rc://*/ta/man/translate/translate-tense]])\n\n### “sons of”\n\nThe author and characters often speak of “the sons of” a person to mean the nation or tribe that consists of his descendants. For example, the author speaks in 1:1 of the “sons of Israel” to mean the Israelites and in 1:8 of the “sons of Judah” to mean the people of the tribe of Judah and particularly their army. In this case, “sons” does not mean first-generation offspring but later descendants. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\nThe phrase “sons of” may also refer to people who have a particular characteristic or quality. For example, the author speaks in 18:2 of “sons of valor,” meaning men who were characterized by valor, that is, valiant warriors. (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “struck,” “struck to the mouth of the sword”\n\nIn many places, the author says that soldiers “struck” an opposing army, city, or king, as if they had only hit them. But he means that they attacked those opponents, and in some contexts the meaning is clearly that they killed them. That is the case in 3:29, for example, where the author says, “And they struck Moab at that time, about 10,000 men … not one escaped.” (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\nIn several contexts the author uses a longer form of this expression and says “they struck them (or it) to the mouth of the sword.” This means that they completely destroyed a city, killing everyone who lived there. For example, speaking in 1:25 of what the tribes descended from Joseph did to Bethel, the author says that “they struck the city with the mouth of the sword.” (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “went up,” “went down”\n\nIn Hebrew, writers and speakers generally indicated whether people were going up to a higher elevation or going down to a lower elevation when they traveled. For example, in 1:3 the soldiers of Judah ask the soldiers of Simeon to “go up” with them into their allotment because the Israelites were in the valley of the Jordan River and the Judeans’ allotment was in the hills above the valley. In 3:27, the author says that the fighting men of Ephraim “went down” with Ehud because they were going from the hill country of Ephraim down into the Jordan River valley. If your language does not mark travel for change in elevation, you can translate instances such as these simply as “go” or “went.”\n
1:intro	a4am				0	# Judges 1 General Notes\n\n## Structure and Formatting\n\n- Verses 1–10: Judah conquers its assigned territory\n- Verses 11–16: Caleb and Othniel conquer Debir (Kiriath Sepher)\n- Verses 12–21: Judah and Simeon conquer territory but leave some hostile nations\n- Verses 22–29: Ephraim and Manasseh conquer territory but leave some hostile nations\n- Verses 30–36: Zebulin, Asher, Naphtali, and Dan conquer territory but leave some hostile nations\n\n## Religious and Cultural Concepts in This Chapter\n\n### Cutting off the thumbs and big toes of captured enemies\n\nIn [1:7](../01/07.md), Adoni-Bezek describes how he had his soldiers cut off the thumbs and big toes of the kings he had defeated. This prevented a captured enemy from running away or from ever using a weapon again. However, as the context shows, it was also a way of humiliating a captured king. When the Israelites did this to Adoni-Bezek, he acknowledged that he was getting what he deserved for having done this to others. This is an example of irony in the book of Judges, in which the punishment fits the crime. (See the discussion in the General Introduction.)\n\n### Complete destruction of a city and its people\n\nIn [1:17](../01/17.md), the armies of Judah and Simeon completely destroy a Canaanite city and kill all of its people. They call the place “Hormah,” which means “destruction.” [Deuteronomy 7:1–4](../deu/07/01.md) describes how, when Yahweh was preparing the Israelites to enter the Promised Land, he commanded them to destroy completely the Canaanite people who lived there. They were not to make any treaties with them or to intermarry with them. This was to prevent the Israelites from joining them in worshiping their false gods, which would have led them to develop a culture and society very different from the kind that Yahweh wanted. The book of Joshua describes how the Israelites completely destroyed the major Canaanite cities and their people. In this chapter, [1:17](../01/17.md) describes a further instance of that. However, the Israelites left many of the Canaanite people in the land, and they did intermarry with them and worship their gods. This led the Israelites into many evil practices that made Yahweh very angry with them.\n\n## Translation Issues in This Chapter\n\n### Names of people groups, cities, and Israelite tribes meaning their people or armies\n\nIn this chapter, the author and characters frequently use the names of people groups or cities by association to mean the people or armies of those groups or cities. For example, when the author says in [1:1](../01/01.md) that the Israelites “fought against Jerusalem,” he means that they fought against the people who lived in that city. The author and characters sometimes also speak of the Israelite tribes as if they were individual people who could talk to one another, go places together, and so forth. For example, the author says in [1:1](../01/01.md), “Then Judah said to Simeon, his brother, ‘Go up with me into my allotment.’” If it would be helpful in your language, you could state the meaning plainly. For example, instead of saying “Judah,” you could say “the people of the tribe of Judah.” (See: [[rc://*/ta/man/translate/figs-metonymy]] and [[rc://*/ta/man/translate/figs-personification]])\n\n### Generic nouns\n\nIn this chapter, the author and characters use expressions such as “the Canaanite,” “the Perizzite,” “the Amorite,” and so forth. They are not referring to specific individuals. Rather, they mean in general the people of the nation mentioned. It may be more natural in your language to express this meaning by using plural forms, for example, “the Canaanites.” (See: [[rc://*/ta/man/translate/figs-genericnoun]])
1:1	j001		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	The author is using the phrase **And it happened** to introduce a new event in the story of the people of Israel, which continues here in the book of Judges at the point where it left off at the end of the book of Joshua. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:1	j002		rc://*/ta/man/translate/figs-metaphor	בְּנֵ֣י יִשְׂרָאֵ֔ל	1	See the discussion of the phrase **the sons of Israel** in the Introduction to Judges. Alternate translation: [the people of Israel]
1:1	j003		rc://*/ta/man/translate/figs-personification	מִ֣י יַעֲלֶה	1	The Israelites are asking Yahweh which of their tribes should be the first to go into its allotment and fight against the Canaanites living there. They are speaking of that tribe as if it were an individual person. (The verb in this phrase is singular, indicating that **Who** is also singular.) See the discussion of this issue, which occurs several times in this chapter, in the General Notes to this chapter. Alternate translation: [What tribe will go up]
1:1	c92j		rc://*/ta/man/translate/figs-exclusive	לָּ֧⁠נוּ	1	By **us**, the Israelites mean themselves but not Yahweh, to whom they are speaking, so use the exclusive form of that word in your translation if your language marks that distinction.
1:1	j231		rc://*/ta/man/translate/figs-genericnoun	הַֽ⁠כְּנַעֲנִ֛י & בּֽ⁠וֹ	1	As the General Notes to this chapter discuss, here and in similar instances throughout the chapter, this is not a reference to a specific **Canaanite**. Rather, it refers to the Canaanites or the Canaanite nations in general. It may be more natural in your language to express this meaning by using plural forms. Alternate translation: [the Canaanites … against them] or [the Canaanite nations … against them]
1:2	c4zw		rc://*/ta/man/translate/figs-metonymy	יְהוּדָ֣ה	1	As the General Introduction to Judges and the General Notes to this chapter discuss, here Yahweh is using the name **Judah** by association to mean the army that belongs to the tribe of Judah. Alternate translation: [The army of the tribe of Judah]
1:2	j004		rc://*/ta/man/translate/figs-metaphor	הִנֵּ֛ה	1	Yahweh is using the term **Behold**, which literally means “Look,” to focus his listeners’ attention on what he is about to say. See the discussion of this usage in the General Introduction to Judges. In this context, since Yahweh is the speaker, there is also the implication that what follows is something that Yahweh has determined and so is certain to happen. Your language may have a comparable expression that you can use in your translation. Alternate translation: [Indeed]
1:2	j005		rc://*/ta/man/translate/figs-metonymy	נָתַ֥תִּי אֶת־הָ⁠אָ֖רֶץ בְּ⁠יָדֽ⁠וֹ	1	Here, as the General Introduction to Judges discusses, having something in one’s **hand** represents possessing it. If it would be helpful in your language, you could use an equivalent expression or state the meaning plainly. Alternate translation: [I have given them possession of the land]
