Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
front:intro	d989					0	# Introduction to Esther\n\n## Part 1: General Introduction\n\n### Outline of Esther\n\n1. King Ahasuerus sends away his wife, the queen (1:1–22)\n2. Ahasuerus chooses Esther as the new queen (2:1–23)\n3. Haman plots to destroy the Jews (3:1–15)\n4. Mordecai asks Esther to help her people (4:1–17)\n5. Esther pleads with the king for the Jews (5:1–7:10)\n6. The result of Haman’s plot to destroy the Jews (8:1–9:16)\n7. The Feast of Purim (9:17–32)\n8. Conclusion (10:1–3)\n\n### What is the Book of Esther about?\n\nThe Book of Esther tells how a young Jewish woman named Esther became the queen of Persia. As queen, she worked to save all the Jews in the Persian Empire from being destroyed.\n\nThis book ends by telling why the Jews celebrate the festival of Purim. The name “Purim” comes from the word “pur,” which means “lots” or “dice.” Haman, the enemy of Jews, threw dice to choose when to attack and destroy the Jews. The Jews celebrate Purim to remember how Yahweh rescued his people from being destroyed.\n\n### How should the title of this book be translated?\n\nTranslators can use the traditional title of this book, which is “The Book of Esther” or just “Esther.” Or they can choose a clearer title, such as “The Book About Esther.”\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the Persian Empire?\n\nKing Cyrus the Great conquered and ruled over many kingdoms. This was in the part of the world called Persia, which is now Iran. So people named his kingdom the Persian Empire. When Cyrus conquered Babylonia in 539 B.C., he then controlled the Jews whom the Babylonians had earlier taken into exile.\n\n### Why were there Jews in Babylonia when the Persians conquered it?\n\nIn 586 B.C., the Babylonians conquered and took into exile the people of Judah. These Jews and their descendants were still in Babylon when the Persians conquered it.\n\n### What was meant by “the laws of the Medes and Persians”?\n\nThe phrase “the laws of the Medes and Persians” is found in Esther 1:19 and Daniel 6:12. It referred to laws and decrees that could not be changed or removed once they were issued. In the book of Esther, the king made a decree that the people could attack the Jews. Later he regretted that decision but he was not able to change the decree.\n\nThe term “Medes” refers to a people group that had formed its own nation, but the Persians conquered them.\n\n## Part 3: Important Translation Issues\n\n### What different levels of language are in the Book of Esther?\n\nIn the Book of Esther, people talk to each other in many different situations. There is the polite and stately talk in the Persian court and the words of royal decrees. Friends and close relatives also talk to each other. There are even the words that one uses in speaking to oneself. Translators should use all the ways their own language has to express these different situations in a way that their readers will identify and understand.
1:intro	v1fp					0	# Esther 1 General Notes\n\n## Religious and Cultural Concepts in This Chapter\n\n### The king’s divorce\n\nThe king’s advisers were afraid that husbands would lose their authority when they heard the queen had refused to come to show her beauty to the king’s guests, so the advisers told him to divorce her.
1:1	jdr1		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֖י	Now it happened	1	In the Old Testament, this is a standard way of beginning a historical story. Many languages have similar story-opening formulas, and if your language has one, you can use it. But do not use it if it would suggest that the story is not real, only made up. Alternate translation: “this account happened”
1:1	zzz2		rc://*/ta/man/translate/figs-idiom	בִּ⁠ימֵ֣י אֲחַשְׁוֵר֑וֹשׁ	in the days of Ahasuerus	1	The term **day** is used here to refer to a longer period of time. You could just say “during the reign of Ahasuerus,” as UST does. But as an alternative, you could say, “in the time of Ahasuerus”
1:1	qwe1		rc://*/ta/man/translate/translate-names	אֲחַשְׁוֵר֑וֹשׁ	Ahasuerus	1	This is a man’s name. It occurs many times in the story. Be sure to translate it consistently.
1:1	v5ts		rc://*/ta/man/translate/writing-background	ה֣וּא אֲחַשְׁוֵר֗וֹשׁ הַ⁠מֹּלֵךְ֙ מֵ⁠הֹ֣דּוּ וְ⁠עַד־כּ֔וּשׁ שֶׁ֛בַע וְ⁠עֶשְׂרִ֥ים וּ⁠מֵאָ֖ה מְדִינָֽה	he was Ahasuerus, the one who ruled from India even as far as Ethiopia, 127 provinces	1	This is background information to help the reader identify Ahasuerus.
1:1	qwe3			ה֣וּא אֲחַשְׁוֵר֗וֹשׁ הַ⁠מֹּלֵךְ֙	he was Ahasuerus, the one who ruled	1	Alternative translation: “This king named Ahasuerus ruled”
1:1	qwe5		rc://*/ta/man/translate/writing-background	מֵ⁠הֹ֣דּוּ וְ⁠עַד־כּ֔וּשׁ	from India even as far as Ethiopia	1	In case your audience might not know where these places are, you could say, “extending from India in the east to Ethiopia in the west.”
1:1	qwe7		rc://*/ta/man/translate/writing-background	שֶׁ֛בַע וְ⁠עֶשְׂרִ֥ים וּ⁠מֵאָ֖ה מְדִינָֽה	127 provinces	1	The number is given to show what a large empire this was. You could say that explicitly by saying, “Ahasuerus ruled a very large empire that had 127 provinces.”
1:1	qwe8		rc://*/ta/man/translate/translate-numbers	שֶׁ֛בַע וְ⁠עֶשְׂרִ֥ים וּ⁠מֵאָ֖ה מְדִינָֽה	127 provinces	1	Alternate translation: “one hundred twenty-seven provinces”
1:2	dk31		rc://*/ta/man/translate/figs-metonymy	כְּ⁠שֶׁ֣בֶת & עַ֚ל כִּסֵּ֣א מַלְכוּת֔⁠וֹ	as & sat on the throne of his royalty	1	Here, the action of **sitting** on a throne is used to mean ruling over a kingdom. You could just say “ruled,” as UST does. But as an alternative, you could say, “ruled his empire from his royal throne”
1:2	qwe9		rc://*/ta/man/translate/figs-abstractnouns	עַ֚ל כִּסֵּ֣א מַלְכוּת֔⁠וֹ	on the throne of his royalty	1	**Royalty** is an abstract noun that refers to the royal authority that the king exercised. You can translate this idea with a verb by saying, “the throne he ruled from,” or use an adjective, “his royal throne.”
1:2	hgm3		rc://*/ta/man/translate/translate-names	בְּ⁠שׁוּשַׁ֥ן	was in Susa	1	This was the name of a royal city of the Persian kings. It occurs many times in the story. Be sure to translate it consistently.
1:2	qwr1		rc://*/ta/man/translate/translate-unknown	הַ⁠בִּירָֽה	the citadel	1	This means a castle or palace where a king would live. But since the city of Susa itself is being called a **citadel** here, it’s likely that the term means royal city or capital city. The person telling this story is identifying Susa as the capital by calling it by the name of something closely associated with it, the royal palace within it. A good translation might be “the capital city of Persia.”
1:3	ry7m		rc://*/ta/man/translate/translate-ordinal	בִּ⁠שְׁנַ֤ת שָׁלוֹשׁ֙ לְ⁠מָלְכ֔⁠וֹ	in year three of his reign	1	This means that Ahasuerus had already ruled for two full years and that these events took place in the year that followed them. Alternate translation: “during the third year that Ahasuerus ruled his empire” or “after he had ruled for two years”
1:3	qwr3		rc://*/ta/man/translate/figs-abstractnouns	בִּ⁠שְׁנַ֤ת שָׁלוֹשׁ֙ לְ⁠מָלְכ֔⁠וֹ	in year three of his reign	1	**Reign** is an abstract noun that refers to the royal authority that the king exercised. You can translate it with a verb by saying, “during the third year that Ahasuerus ruled.”
1:3	qwr5			עָשָׂ֣ה מִשְׁתֶּ֔ה	he made a feast	1	Alternative translation: “he hosted a feast”
1:3	prm1		rc://*/ta/man/translate/figs-synecdoche	חֵ֣יל ׀ פָּרַ֣ס וּ⁠מָדַ֗י	the army of Persia and Media	1	This likely refers to the leaders of the army. It is describing a part of the army by referring to the whole army. Alternate translation: “the officers of the army”
1:3	qwr7			הַֽ⁠פַּרְתְּמִ֛ים	the noblemen	1	This probably means something like “the wealthy landowners.”
1:3	jdr3		rc://*/ta/man/translate/figs-metonymy	לְ⁠פָנָֽי⁠ו	before his face	1	**Face** stands for the presence of a person, so this phrase means “in his presence.” The invitation was to come to the royal capital to attend a banquet where the king would be present in person. You could say, as UST does, that the king was present in person to host the feast. Or you could say as an alternative, “all of them came to Susa for the feast”
1:4	qwr9		rc://*/ta/man/translate/figs-abstractnouns	בְּ⁠הַרְאֹת֗⁠וֹ אֶת־עֹ֨שֶׁר֙ כְּב֣וֹד מַלְכוּת֔⁠וֹ	when he displayed the wealth of the glory of his kingdom	1	You can translate the abstract noun with an emphasized adjective. Alternate translation: “Ahasuerus … wanted to demonstrate … the great wealth of his kingdom”
1:4	qet1		rc://*/ta/man/translate/figs-explicit	בְּ⁠הַרְאֹת֗⁠וֹ	when he displayed	1	**He** refers to the king. The implication is that he held this banquet to show all of his officials how wealthy and powerful he was. The invited officials would then go back to all the different parts of the empire and tell everyone this. Alternate translation: “Ahasuerus wanted to demonstrate to his guests”
1:4	m8xa		rc://*/ta/man/translate/figs-doublet	עֹ֨שֶׁר֙ כְּב֣וֹד מַלְכוּת֔⁠וֹ	the wealth of the glory of his kingdom	1	The words **wealth** and **glory** have similar meanings and they are used together to emphasize how great his kingdom was. Alternate translation: “the great wealth of his kingdom”
1:4	qet3		rc://*/ta/man/translate/figs-abstractnouns	בְּ⁠הַרְאֹת֗⁠וֹ & וְ⁠אֶ֨ת־יְקָ֔ר תִּפְאֶ֖רֶת גְּדוּלָּת֑⁠וֹ	when he displayed & and the splendor of the beauty of his greatness	1	You can translate the abstract nouns **splendor**, **beauty**, and **greatness** as adjectives. Alternate translation: “Ahasuerus … wanted to demonstrate … that he was a very powerful king”
1:4	lun5		rc://*/ta/man/translate/figs-doublet	יְקָ֔ר תִּפְאֶ֖רֶת גְּדוּלָּת֑⁠וֹ	the splendor of the beauty of his greatness	1	The words **splendor** and **beauty** have similar meaning and emphasize how great he was. Alternate translation: “the splendor of his greatness”
1:4	qet5		rc://*/ta/man/translate/figs-explicit	יָמִ֣ים רַבִּ֔ים שְׁמוֹנִ֥ים וּ⁠מְאַ֖ת יֽוֹם	for many days, 180 days	1	This was a very long time for a royal feast to last. The earlier part of the verse provides the reason for this. To make the connection explicit, you could add some explanatory words to the verse like this: “Ahasuerus entertained his guests fabulously because he wanted to demonstrate that his empire was extremely wealthy and that he was a very powerful king. He did so many things for them that the festivities lasted for six months.”
1:4	x1v6		rc://*/ta/man/translate/translate-numbers	שְׁמוֹנִ֥ים וּ⁠מְאַ֖ת יֽוֹם	180 days	1	Six months is about **180 days** or about half a year. You can use whatever expression will best express this time period in your language.
1:5	ue3x		rc://*/ta/man/translate/figs-explicit	וּ⁠בִ⁠מְל֣וֹאת ׀ הַ⁠יָּמִ֣ים הָ⁠אֵ֗לֶּה	And when those days were fulfilled	1	This implies “at the end of that feast.” You could say that explicitly. Alternate translation: “after those 180 days were over” or “at the end of those six months”
1:5	fv9y		rc://*/ta/man/translate/translate-numbers	עָשָׂ֣ה הַ⁠מֶּ֡לֶךְ & מִשְׁתֶּ֖ה	the king made a feast	1	This was a second feast that the king hosted. He likely did this to thank the people who had worked so hard in hosting the first feast. You could say that explicitly.
1:5	mj16		rc://*/ta/man/translate/translate-unknown	בְּ⁠שׁוּשַׁ֨ן הַ⁠בִּירָ֜ה	in Susa the citadel	1	The expression in this case seems to refer specifically to the royal **citadel** from which the city got its name. This second feast would not have been for everyone in the entire city. It was specifically for the people who served the king in the citadel and who had worked so hard over the previous six months hosting the first feast. Alternate translation: “for every man who worked for him in the palace at Susa”
1:5	qet7		rc://*/ta/man/translate/figs-idiom	הַ⁠נִּמְצְאִים֩	who were found	1	Here, **found** is an idiom that means could be found or were there.
1:5	qet9		rc://*/ta/man/translate/figs-activepassive	הַ⁠נִּמְצְאִים֩	who were found	1	You can say this with an active form. Alternate translation: “who worked for him in”
1:5	qey1		rc://*/ta/man/translate/figs-merism	לְ⁠מִ⁠גָּ֧דוֹל וְ⁠עַד־קָטָ֛ן	from the greatest even to the least	1	The person telling this story is referring to the staff of the palace by speaking of two extreme parts of it, the most important and the least important people who worked there, in order to include everyone in between. You could just explain this meaning, as UST does. Alternate translation: “from the most important official to the least important servant”
1:5	qey3			שִׁבְעַ֣ת יָמִ֑ים	for seven days	1	The story does not suggest that this was an unusually long time by saying, “for many days.” But you could also say something like “a whole week” to show that this was a generous gesture of thanks on the part of the king. Alternate translation: “another feast that lasted seven days”
1:6	qey5		rc://*/ta/man/translate/translate-unknown	ח֣וּר ׀ כַּרְפַּ֣ס וּ⁠תְכֵ֗לֶת	Linens cotton and blue	1	These **linens** were curtains that were hung in the courtyard. **Cotton** refers to the white color of some of them. So this means white and blue curtains.
1:6	qey7			ח֣וּר ׀ כַּרְפַּ֣ס וּ⁠תְכֵ֗לֶת	Linens cotton and blue	1	You can specify at the beginning of this verse that the location being described is the same as in the previous verse: “In the courtyard, white and blue curtains.”
1:6	qey9		rc://*/ta/man/translate/translate-unknown	בְּ⁠חַבְלֵי־ב֣וּץ וְ⁠אַרְגָּמָ֔ן	by cords of byssus and purple	1	**Byssus** means “white linen” and it is used to describe the white color of some of these cords. So this means white and purple cords.
1:6	qru1		rc://*/ta/man/translate/figs-explicit	מִטּ֣וֹת ׀ זָהָ֣ב וָ⁠כֶ֗סֶף	Couches of gold and silver	1	You can specify that these couches were there for the guests to recline on while they ate.
1:6	asn4		rc://*/ta/man/translate/translate-unknown	רִֽצְפַ֥ת	the pavement of	1	This word probably refers to a mosaic floor made of inlaid pieces of colorful precious stones.
1:6	eyi2		rc://*/ta/man/translate/translate-unknown	בַּהַט	porphyry	1	This is a kind of red and purple stone that contains pieces of crystal. You could call it “feldspar” or something descriptive like “red marble.”
1:6	qru3		rc://*/ta/man/translate/translate-unknown	וָ⁠שֵׁ֖שׁ	and alabaster	1	This is a white precious stone. You could identify it as “alabaster.” Alternatively, while it is not exactly the same thing as marble, your readers would get the right idea if you called it “white marble.”
1:6	qru5		rc://*/ta/man/translate/translate-unknown	וְ⁠סֹחָֽרֶת	and precious stone	1	This word probably refers to a black marble that was used to create borders around mosaics. You could call this “black marble,” or you could just say that the floor contained “another precious stone.”
1:7	urm7		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠הַשְׁקוֹת֙	And the serving was	1	The abstract noun **serving** refers to how the drinks were served at the banquet. You can translate it with a verb by saying, “The attendants served wine.”
1:7	qru7			וְ⁠כֵלִ֖ים מִ⁠כֵּלִ֣ים שׁוֹנִ֑ים	with vessels differing from other vessels	1	This could mean that “no two of them were alike.” But you could also just say that the wine was served in “various kinds of golden cups.”
1:7	r6ec		rc://*/ta/man/translate/figs-explicit	וְ⁠יֵ֥ין מַלְכ֛וּת רָ֖ב כְּ⁠יַ֥ד הַ⁠מֶּֽלֶךְ	and the wine of royalty was abundant according to the hand of the king	1	This means that King Ahasuerus himself paid for all the wine that the guests drank at his seven-day feast in Susa, and the wine came from his personal supply. Alternate translation: “the king was very generous with the royal wine” or “the king showed a great willingness to give” or “the king provided all of it”
1:7	qru9		rc://*/ta/man/translate/figs-abstractnouns	וְ⁠יֵ֥ין מַלְכ֛וּת רָ֖ב כְּ⁠יַ֥ד הַ⁠מֶּֽלֶךְ	and the wine of royalty was abundant according to the hand of the king	1	This probably means special fine wine that only the king could acquire and afford. You can translate the abstract noun **royalty** with an adjective. Alternate translation: “royal wine”
1:7	wpq1		rc://*/ta/man/translate/figs-metonymy	כְּ⁠יַ֥ד הַ⁠מֶּֽלֶךְ	according to the hand of the king	1	Here, **hand** refers to the king himself, viewed through his action of giving.
