Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
5:7	x60d		rc://*/ta/man/translate/grammar-connect-logic-contrast	γὰρ & τάχα τις		2	What follows the word **though** here is in contrast to what Paul stated in the previous sentence. Although **someone will hardly die** for **a righteous person**, **someone** might possibly be willing to die for a **good person**. Although Paul does not state the difference between **a righteous person** and **a good person**, he contrasts both examples to emphasize how unlikely it is for a person to willingly die on behalf of another person. Use a natural way in your language for introducing a contrast. Alternate translation: “By contrast, perhaps someone”
5:13	juq7		rc://*/ta/man/translate/figs-activepassive	ἁμαρτία & οὐκ ἐλλογεῖται		2	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. If you must state who did the action, Paul implies that “God” did it. Alternate translation: “God did not charge them with sinning” or “God did not reckon it as sin”
5:13	izno			ἁμαρτία & οὐκ ἐλλογεῖται		2	Alternate translation: “a record of sin is not kept” or “no account is kept of sins”
5:16	ub9s		rc://*/ta/man/translate/figs-abstractnouns	τὸ & κρίμα		2	If your language does not use an abstract noun for the idea of **judgment**, you could express the same idea in another way, as in the UST.
7:15	e8ki		rc://*/ta/man/translate/figs-ellipsis	οὐ & ὃ θέλω & ὃ μισῶ		2	Paul is leaving out some of the words that a clause would need in many languages to be complete. If it would be helpful in your language, you could supply these words from the context. Alternate translation: “what I do not want to do … what I hate to do”
7:15	az2z		rc://*/ta/man/translate/figs-hyperbole	οὐ & ὃ θέλω, τοῦτο πράσσω & ὃ μισῶ, τοῦτο ποιῶ.		2	The phrases **I practice** and **I do** are exaggerations that Paul uses to emphasize that he often does what he does not want to do. It does not mean that Paul always does these things. If it would be helpful in your language, you could state this explicitly. Alternate translation: “what I do not want, this I often practice … what I hate, this I often do”
7:18	uxwb		rc://*/ta/man/translate/figs-ellipsis	τὸ & κατεργάζεσθαι τὸ καλὸν οὔ		2	Paul is leaving out some of the words that a clause would need in many languages to be complete. If it would be helpful in your language, you could supply these words from the context. Alternate translation: “the ability to produce the good is not in me” or “I am not able to produce the good”
8:6	oviz		rc://*/ta/man/translate/figs-possession	τὸ & φρόνημα τοῦ Πνεύματος		2	Paul is using the possessive form to describe a **mindset** that is focused on **the Spirit**. If it would be helpful in your language, you could use a different expression. Alternate translation: “the mindset that is focused on the Spirit”
8:26	k5pn		rc://*/ta/man/translate/figs-infostructure	τὸ & τί προσευξώμεθα καθὸ δεῖ, οὐκ οἴδαμεν		2	If it would be more natural in your language, you could reverse the order of these phrases. Alternate translation: “For we do not know the thing for which we should pray as we ought”
8:28	q3ce		rc://*/ta/man/translate/figs-activepassive	τοῖς & κλητοῖς οὖσιν		2	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “for those whom God called”
11:2	wzs6		rc://*/ta/man/translate/figs-explicit	τὸν λαὸν αὐτο		1	See how you translated this phrase in the previous verse.
11:18	gqd6		rc://*/ta/man/translate/figs-exmetaphor	μὴ κατακαυχῶ τῶν κλάδων. εἰ δὲ κατακαυχᾶσαι, οὐ σὺ τὴν ῥίζαν βαστάζεις, ἀλλὰ ἡ ῥίζα σέ		1	Paul continues using the metaphor of a tree from the previous two verses. Here, **branches** represents those Jews whom God rejected because they did not believe in Jesus. The **root** represents either the ancestors of the Israelites (like in [11:16](../11/16.md)) or the Jewish people in general. If it would be helpful in your language, you could express this metaphor as a simile. See also the discussion of this metaphor in the General Notes for this chapter. Alternate translation: “do not boast over the unbelieving Jews whom God rejected, like branches were broken off of a tree. But if you boast, you yourself do not sustain Gods people, like branches cannot sustain the root, but the first Israelites sustain you, like the root sustains the branches”
11:28	dr2q		rc://*/ta/man/translate/figs-abstractnouns	κατὰ & τὴν ἐκλογὴν		2	See how you translated this phrase in [9:11](../09/11.md).
11:36	abc1		rc://*/ta/man/translate/writing-pronouns	ἐξ αὐτοῦ, καὶ δι’ αὐτοῦ, καὶ εἰς αὐτὸν, τὰ πάντα. αὐτῷ		1	In this verse **him** refers to God. If it would be helpful in your language, you could state this explicitly. Alternate translation: “from God and through God and to God are all things. To God”
14:4	cp9y		rc://*/ta/man/translate/figs-metaphor	τῷ ἰδίῳ κυρίῳ στήκει ἢ πίπτει. σταθήσεται δέ, δυνατεῖ γὰρ ὁ Κύριος στῆσαι αὐτόν		1	This could mean: (1) **stands** and **stand** refer to pleasing God, and **falls** refers to not pleasing God. Alternate translation: “He pleases or does not please his own master. But he will be made to please God, for the Lord is able to make him be pleasing” (2) **stands** and **stand** refer to being accepted by God at the final judgment, and **falls** refers to being condemned by God at the final judgment. Alternate translation: “He will either be approved or condemned by his own master. But he will be approved by God, for the Lord is able to approve him”
16:2	inh1		rc://*/ta/man/translate/figs-abstractnouns	καὶ γὰρ αὐτὴ προστάτις πολλῶν ἐγενήθη καὶ ἐμοῦ αὐτοῦ		2	If your language does not use an abstract noun for the idea of **benefactor**, you could express the same idea in another way. Alternate translation: “For she has also benefited many, and myself as well”
16:24	ct9t		rc://*/ta/man/translate/translate-textvariants	Ἡ χάρις τοῦ κυρίου ἡμῶν Ἰησοῦ χριστοῦ μετὰ πάντων ὑμῶν. Ἀμήν		1	This verse is not in the best earliest manuscripts. It seems to be an accidental repetition of the last part of [16:20](../16/20.md). It has been included in the ULT, but it is marked off with square brackets (\\[ \\]) at the beginning and end. If possible, do not include this addition in your translation.
