Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	fa5r				0	# Introduction to Ezra\n\n## Part 1: General Introduction\n\n### Outline of Ezra\n\n1. The first Jewish exiles return to Jerusalem from Persia (1:1–2:70)\n2. The people rebuild and dedicate the temple in Jerusalem (3:1–6:22)\n3. More exiles return; Ezra teaches the Law of Yahweh (7:1–8:36)\n4. The problem of the people marrying foreigners, and how it is solved (9:1–10:44)\n\n### What is the Book of Ezra about?\n\nThe book of Ezra is about how the people of Israel returned from Babylon and tried to worship Yahweh again as the law required. To do this, they needed to rebuild their temple so that they could sacrifice to Yahweh. (See: [[rc://*/tw/dict/bible/kt/temple]])\n\n### How should the title of this book be translated?\n\nThe book of Ezra is named for the priest Ezra who led the first group of Jews out of exile and back to Judah. Translators can use the traditional title “Ezra.” Or they might choose a clearer title, such as “The Book about Ezra.”\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why were Israelites not allowed to marry people from other nations?\n\nForeigners worshiped many false gods. Yahweh did not allow his people to marry foreigners because he knew that this would cause the people of Israel to worship false gods. (See: [[rc://*/tw/dict/bible/kt/falsegod]])\n\n### Did all of the people of Israel return to their homeland?\n\nMany of the Jews remained in Babylon instead of returning to the land of Israel. Many of them were successful in Babylon and desired to remain there. However, this meant that they were unable to worship Yahweh in Jerusalem as their ancestors had done.\n\n## Part 3: Important Translation Issues\n\n### How does the Book of Ezra use the term “Israel”?\n\nThe book of Ezra uses the term “Israel” to refer to the kingdom of Judah. It was mostly made up of the tribes of Judah and Benjamin. The other ten tribes had ended their loyalty to any kings descended from David. God allowed the Assyrians to conquer the other ten tribes and take them into exile. As a result, they mixed with other people groups and did not return to the land of Israel. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\n### Are the events in the Book of Ezra told in the order that they actually happened?\n\nSome of the events in the Book of Ezra are not told in the order that they happened, but are grouped according to theme. Translators should pay attention to notes that signal when events are probably out of chronological order.
1:intro	dd25				0	# Ezra 1 General Notes\n\n## Structure and Formatting\n\nThe chapter records the story of the first Jews as they return from Persia to Judea.\n\n## Religious and Cultural Concepts in This Chapter\n\n### King Cyrus\n\nKing Cyrus allowed the Jews to return because he wanted them to rebuild the temple. Those who stayed behind gave gifts to those who left to help them on their journey and resettlement. This practice was common under the reign of Cyrus and was used as a way to maintain peace throughout his kingdom. (See: [[rc://*/tw/dict/bible/kt/temple]])\n\n## Translation Issues in This Chapter\n\n### Jews\n\nAfter they returned to Judea, the focus of the rest of the Old Testament is on the Jewish people.
1:1	nnrv		rc://*/ta/man/translate/writing-newevent	Now in year	1	The word **now** introduces a new event in the story. Use the normal method for introducing the beginning of a true story in your language.
1:1	ath4		rc://*/ta/man/translate/figs-explicit	Now in year one of Cyrus, the king of Persia	1	The original Jewish readers of this book would have known that this is not a reference to the year when Cyrus first became king of the Persians. Rather, it is a reference to the later year when, by conquering Babylon, he became king over the Jews, since Babylon is the nation that had previously conquered the Jews and taken them into exile. If it would be helpful to your readers, you could say this explicitly. Alternate translation: “During the first year after Cyrus, the king of Persia, conquered Babylon and became ruler over the Jews”
1:1	qvp1			Now in year one of Cyrus, the king of Persia	1	This expression could mean that sometime during the first year that he ruled over the Jews, Cyrus issued the decree that this verse describes. However, it could also mean that he issued this decree as soon as he became their ruler. Alternate translation: “As soon as Cyrus, the king of Persia, conquered Babylon and became the ruler of the Jews”
1:1	p6b4		rc://*/ta/man/translate/translate-ordinal	Now in year one	1	The Hebrew uses a cardinal number here, **one**, but there is not a significant difference in meaning between that and the way the Hebrew uses an ordinal number, “first,” in similar contexts elsewhere. If your language customarily uses ordinals for the numbers of years, you can do that here in your translation. Alternate translation: “In the first year”
1:1	bns6		rc://*/ta/man/translate/translate-names	of Cyrus	1	**Cyrus** is the name of a man.
1:1	xkd5		rc://*/ta/man/translate/translate-names	Persia	1	**Persia** is the name of an empire.
1:1	t5sz		rc://*/ta/man/translate/figs-metonymy	the word of Yahweh	1	Here, **word** refers to the thing that Yahweh spoke about. Alternate translation: “the promise that Yahweh had made”
1:1	savk		rc://*/ta/man/translate/figs-explicit	the word of Yahweh	1	What Yahweh had said specifically was that, after 70 years in exile, the Jews would be allowed to return to their homeland. If it would be helpful to your readers, you could say that explicitly, or you could put this information in a footnote. Alternate translation: “the promise that Yahweh had made that after 70 years in exile, the Jews would be allowed to return to their homeland”
1:1	l953		rc://*/ta/man/translate/translate-names	Yahweh	1	**Yahweh** is the name of God that he revealed to his people in the Old Testament. It occurs many times in the book, and it will be helpful to your readers if you translate it consistently each time.
1:1	y7r9		rc://*/ta/man/translate/figs-metonymy	from the mouth of Jeremiah	1	Here, **mouth** represents speaking. Alternate translation: “which Jeremiah spoke about” or “which Jeremiah announced”
1:1	fn3a		rc://*/ta/man/translate/figs-synecdoche	Yahweh stirred up the spirit of Cyrus	1	Here the book uses one aspect of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh put a desire to do something into Cyrus”
1:1	cz5n		rc://*/ta/man/translate/figs-metaphor	Yahweh stirred up the spirit of Cyrus	1	Here, the book speaks of Yahweh causing Cyrus to act by saying that he **stirred up** his spirit in the way that winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh put a desire to do something into Cyrus”
1:1	n59e		rc://*/ta/man/translate/grammar-connect-logic-result	So he caused & to pass	1	The word **so** indicates that the sentence it introduces explains the results of what the previous sentence described. Alternate translation: “As a result, he made … to be sent”
1:1	yiq4		rc://*/ta/man/translate/figs-metonymy	So he caused a sound to pass throughout all his kingdom	1	Here, **he** means Cyrus. In this context, the **sound** is a voice speaking a message, and the voice represents the message that it speaks. But since the message could not travel by itself, ultimately the reference is to the messengers who delivered it. Alternate translation: “Cyrus sent messengers out to proclaim a decree everywhere in his empire”
1:1	x1wz		rc://*/ta/man/translate/figs-ellipsis	and also in writing	1	Here the book leaves out some of the words that a sentence would ordinarily need in order to be complete. The meaning is: Cyrus also put this decree in writing. You could say that explicitly if it would be helpful to your readers. Alternate translation: “and Cyrus also sent out written copies of the decree” or “and Cyrus also had his scribes write down the decree in his official records”
1:2	arwl		rc://*/ta/man/translate/figs-distinguish	Yahweh, the God of heaven	1	Here Cyrus provides some background information to inform his subjects who Yahweh is. Alternate translation: “Yahweh, the God who is above all” or “Yahweh, the God who rules in heaven”
1:2	aqj5		rc://*/ta/man/translate/figs-hyperbole	all the kingdoms of the earth	1	**All** is an exaggeration for emphasis. There were still some kingdoms on earth that Cyrus did not rule. However, he had conquered every other large empire in his part of the world that might have been a threat to him. Alternate translation: “to be unchallenged ruler over this entire land”
1:2	zb3e		rc://*/ta/man/translate/figs-idiom	has given to me	1	This is an idiom. Alternate translation: “has made me the king over”
1:2	dcb6		rc://*/ta/man/translate/figs-explicit	to build for him a house	1	Cyrus is not going to do the building personally. Rather, he means that he is giving the Jews, the people who worship Yahweh, permission and support to rebuild his temple, which the Babylonians had destroyed. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “to make it possible for the Jews, the people who worship him, to rebuild his temple”
1:2	eapm		rc://*/ta/man/translate/figs-metaphor	a house	1	Here, **house** means a temple. Cyrus speaks of this temple as if it would be a house in which God lived, since God’s presence would be there. Alternate translation: “a temple”
1:2	i909		rc://*/ta/man/translate/figs-distinguish	in Jerusalem, which is in Judah	1	Here, Cyrus provides some background information about the city where he wants the Jews to rebuild the temple of Yahweh, since many of the recipients of his message might not have known where Jerusalem was. Alternate translation: “in Jerusalem, the capital city of the province of Judah”
1:2	gmx4		rc://*/ta/man/translate/translate-names	in Jerusalem, which is in Judah	1	**Jerusalem** is the name of a city, and **Judah** is the name of the province in which it was located. These names occur many times in the book, and it will be helpful to your readers if you translate them consistently each time.
1:3	xf34		rc://*/ta/man/translate/figs-explicit	Whoever among you is from all his people	1	Here, **all** probably indicates that Cyrus is thinking of not only the people whom the Babylonians had taken into exile from the southern kingdom of Judah some decades before, and their descendants, but also any of the people whose ancestors the Assyrians had taken into exile from the northern kingdom of Israel nearly two centuries earlier. Cyrus now ruled over the territories to which both groups had been exiled. If any in the second group still had awareness and proof of their identity, and if they still wanted to honor and worship Yahweh, they could also return to Jerusalem and help rebuild the temple. (However, as [1:5](../01/05.md) indicates, it was essentially Israelites from the tribes of Judah and Benjamin who actually did return.) To make this clear, you could include this information. Alternate translation: “Which of you is an Israelite from any tribe”
1:3	fq6g		rc://*/ta/man/translate/figs-idiom	may his God be with him	1	Cyrus wishing that **God** will **be with** these Israelites is an idiom that expresses his wish that God would make their journey and the rebuilding project successful. If it is more natural in your language, you could say this at the end of the verse. Alternate translation: “May his God make him successful”
1:3	hz9g		rc://*/ta/man/translate/figs-idiom	and may he go up to Jerusalem	1	Cyrus says **go up** because the Jews would have to travel from a river valley up into the mountains in order to return from their places of exile to Jerusalem. Alternate translation: “and let him return to Jerusalem”
1:3	k839		rc://*/ta/man/translate/figs-distinguish	to Jerusalem, which is in Judah	1	Cyrus once again provides background information about the city. Alternate translation: “to Jerusalem, in the province of Judah”
1:3	gxbj		rc://*/ta/man/translate/figs-metaphor	the house of Yahweh	1	Here, **house** means a temple. Cyrus continues to speak of this temple as if it would be a house in which Yahweh lived, since Yahweh’s presence would be there. Alternate translation: “a temple for Yahweh”
1:3	o6x4		rc://*/ta/man/translate/figs-distinguish	Yahweh, the God of Israel. He is the God who is in Jerusalem	1	Here Cyrus provides further background information to inform his subjects who Yahweh is. Alternate translation: “Yahweh, the God whom the people of Israel worship, who should have a temple in Jerusalem”
1:3	agt1		rc://*/ta/man/translate/figs-possession	the God of Israel	1	The phrase **the God of Israel** does not mean that God belongs to Israel, but that this is the God whom Israel worships. Alternate translation: “the God whom Israel worships”
1:4	t7ux			And every one who is remaining in all of the places where he is sojourning there, let the men of his place lift him	1	The structure of this sentence may present difficulties for translation because the long phrase at the beginning actually describes who will receive the action, rather than who will do the action. If it would be helpful in your language, you could say first who will do the action. Alternate translation: “Let the people who live in any place where Jewish survivors are in exile help them”
1:4	fr03		rc://*/ta/man/translate/figs-idiom	And every one who is remaining	1	This phrase refers to any Israelite who is a surviving member of the group that was taken into exile, or who is a descendant of someone in that group. The word **remaining** refers to people who are remaining or left over from a larger group. In this context, that larger group is all of the Israelites who lived in the land of Judah before the Babylonians conquered it. Alternate translation: “Any survivor of the Jews who were taken from their land”
1:4	vvzw		rc://*/ta/man/translate/figs-idiom	in all of the places where he is sojourning there	1	**Sojourning** means living somewhere other than in one’s native land. Here, **he** refers to any Jew such as is described in the previous phrase. Alternate translation: “in any of the places where a Jew may be living in exile”
1:4	uoep			where he is sojourning there	1	Saying **where** and **there** in the same phrase like this is a characteristic Hebrew construction, but it might represent an unnecessary duplication in your language. If it would be helpful in your language, you could omit any translation of the word “there.” Alternate translation: “in which he is living”
1:4	p5jk		rc://*/ta/man/translate/figs-gendernotations	let the men of his place lift him	1	It is likely that both women and men would have helped to gather the supplies listed in the rest of this verse to support the returning Jews. So the term **men** here probably includes both groups. Alternate translation: “the people of that place should help him”
1:4	d9rn		rc://*/ta/man/translate/figs-idiom	let & lift him	1	**Lift** here is an idiom that means help. Alternate translation: “let … help him by providing him”
1:4	f6tk		rc://*/ta/man/translate/figs-explicit	the freewill offering	1	The book expects readers to know that these would be extra gifts, beyond the necessities already listed. They might include money to help rebuild the temple and vessels to be used in the temple, such as the ones listed in [1:7–11](../01/07.md). Alternate translation: “any extra gifts that they want to give”
1:4	swvz		rc://*/ta/man/translate/figs-metaphor	for the house of God, which is in Jerusalem	1	**House** means a temple. Cyrus continues to speak of this temple as if it would be a house in which God lived, since God’s presence would be there. The book repeatedly uses the expressions **house**, **house of God**, and “house of Yahweh” to mean the temple in Jerusalem. It will be helpful to your readers if you translate these expressions consistently every time. Alternate translation: “for the temple that the Jews will rebuild for God in Jerusalem”
1:5	i39z		rc://*/ta/man/translate/grammar-connect-logic-result	Then & arose	1	The word **then** indicates that the sentence it introduces explains the results of what the previous verses have described. Alternate translation: “In response to this decree … prepared”
1:5	kkxf		rc://*/ta/man/translate/figs-idiom	Then & arose	1	In this context, the term **arose** means that these leaders took action to get an enterprise under way. It does not indicate that these leaders had been sitting or lying down and that they stood up. Alternate translation: “Then … started making preparations”
1:5	hgd0		rc://*/ta/man/translate/figs-ellipsis	the heads of the fathers	1	This is an abbreviated way of saying the heads of the father’s houses. Alternate translation: “the clan leaders”
1:5	v371			the heads of the fathers	1	Among the Israelites, the expression “father’s house” or “house of the father” originally described an extended-family group. It later came to be used more generally to refer to a larger clan within a tribe. In this expression, the word “house” (which does not appear in the abbreviated version here) describes all the people descended from a particular person. The term views all of those descendants as if they were one household living together. Alternate translation: “the clan leaders”
1:5	bezo		rc://*/ta/man/translate/figs-metaphor	the heads of	1	Here, **heads** is a figurative way of saying leaders. Alternate translation: “leaders”
1:5	rt3n		rc://*/ta/man/translate/translate-names	of Judah and Benjamin	1	These are the names of two of the tribes of Israel. Alternate translation: “of the tribes of Judah and Benjamin”
1:5	s2yg		rc://*/ta/man/translate/figs-metaphor	that is, all whose spirit God had stirred up	1	Here the book again speaks of God causing people to act by saying that he **stirred up** their spirits the way winds might stir up calm waters and get them to move around. The meaning is that God directly influenced the hearts and wills of these clan leaders to get them to do something. Alternate translation: “all those whom God had led to act”
1:5	ywuq		rc://*/ta/man/translate/figs-idiom	to go up	1	As in [1:3](../01/03.md), the book says **go up** because the Jews would have to travel from a river valley up into the mountains in order to return from their places of exile to Jerusalem. Alternate translation: “to return to Jerusalem”
1:6	ihv7		rc://*/ta/man/translate/figs-hyperbole	And all those around them	1	**All** is an exaggeration for emphasis. Every person who lived near a returning Jew did not necessarily provide support. But the expression indicates that the Jews received very generous support from many of their neighbors. Alternate translation: “And the people of their communities”
1:6	wwg6		rc://*/ta/man/translate/figs-metaphor	strengthened their hands	1	Here, **hands** represents strength and power. This expression means that the neighbors of the Jews gave them greater capacity to act and fulfill their project by supplying them with the items listed. Alternate translation: “enabled them by giving them”
1:6	sc2n			apart from all that was freely offered	1	This is a reference to the freewill offerings that are also mentioned in [1:4](../01/04.md). Alternate translation: “in addition, the people freely gave extra gifts”
1:7	sv16		rc://*/ta/man/translate/figs-explicit	And the king Cyrus brought out	1	**Cyrus** did not do this work himself. He ordered others to do it. If that is not understood in your language, you can say this explicitly, as in the UST.
1:7	bt1u		rc://*/ta/man/translate/figs-explicit	the vessels of the house of Yahweh that Nebuchadnezzar had brought out from Jerusalem and had put in the house of his gods	1	**Vessels** refers to the bowls, basins, and other objects that are listed in [1:9](../01/09.md) and [1:10](../01/10.md). The book assumes that readers will know that this verse is describing how Nebuchadnezzar, the king of Babylon, took these items from the temple in Jerusalem and then put them, as trophies of conquest, in a temple devoted to his own gods. If it would be helpful to your readers, you could say this explicitly in the text or in a footnote. Alternate translation: “the objects from the temple of Yahweh that Nebuchadnezzar, the king of Babylon, had taken away from Jerusalem when he captured that city and then put in the temple of his own gods”
1:7	bwol		rc://*/ta/man/translate/translate-names	Nebuchadnezzar	1	**Nebuchadnezzar** is the name of a man.
1:8	emq3		rc://*/ta/man/translate/figs-metaphor	And Cyrus, the king of Persia, brought them out by the hand of Mithredath the treasurer	1	Here, **by the hand of** is a metaphor that represents control and action. The expression means that Mithredath did this at the command of Cyrus and on his behalf. Mithredath would have commanded others to do the work; he would not have carried the things in his own hands. Alternate translation: “King Cyrus of Persia ordered his treasurer, Mithredath, to bring them out”
1:8	j32q		rc://*/ta/man/translate/figs-explicit	And Cyrus, the king of Persia, brought them out by the hand of Mithredath	1	The implication is that these vessels had remained in the temple where Nebuchadnezzar had put them, and so **Mithredath brought them out** from there. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “King Cyrus of Persia had his treasurer, Mithredath, bring these vessels out from the temple where Nebuchadnezzar had put them”
1:8	m5w3		rc://*/ta/man/translate/translate-names	Mithredath	1	**Mithredath** is the name of a man.
1:8	wc54		rc://*/ta/man/translate/translate-unknown	the treasurer	1	This term describes the office of a person responsible for all of the valuable possessions of a kingdom and for the places where they are stored safely.
1:8	w8rk		rc://*/ta/man/translate/figs-idiom	And he counted them out to Sheshbazzar	1	Here, **he** refers to Mithredath, and **them** refers to the objects for the temple. The expression **counted them out** probably does not mean that Mithredath handed Sheshbazzar the objects one at a time while announcing the number of each one. It probably means that Mithredath gave Sheshbazzar the objects along with a document that listed how many there were of each kind, as recorded in [1:9](../01/09.md) and [1:10](../01/10.md). Alternate translation: “Mithredath turned them over to Sheshbazzar along with a detailed list of them”
1:8	wb5a		rc://*/ta/man/translate/translate-names	to Sheshbazzar	1	This leader of the first group of exiles to return to Judah, who is called **Sheshbazzar** here and in [1:11](../01/11.md), [5:14](../05/14.md), and [5:16](../05/16.md), seems to be the same person who is called Zerubbabel in the rest of the book. The reason for the difference in names is not clear. Some interpreters suggest that he was known as Sheshbazzar in the Persian court and that he used the name Zerubbabel as governor of Judah. There are examples in the Bible of Jews having both a Persian name and a Hebrew name. It would probably be best simply to translate both names consistently where they appear without calling attention to the difference, but you could add this possible explanation in a footnote.
1:8	qsti			the ruler of Judah	1	The book says in [5:14](../05/14.md) that Cyrus appointed Sheshbazzar to be the governor of the province of Judah. If it would be helpful to your readers, you could use that phrase to describe him here. Alternate translation: “whom Cyrus had appointed to be the governor of the province of Judah”
1:9	hu9c		rc://*/ta/man/translate/figs-idiom	And this was their number	1	This expression means that what follows is the number of each kind of utensil that Cyrus is returning
1:9	noww			knives	1	This word occurs only here in the Hebrew Bible, and there is some disagreement about its meaning. It is probably a borrowed term from a related language that means “knife,” but the ancient Greek translation took its meaning to be “replacements,” that is, basins to replace others that became unusable. You may see translations that follow the ancient Greek, but we recommend following the Hebrew.
1:10	ja6u			bowls of silver of a second kind	1	This means that these bowls were a different type of bowl than the gold ones just mentioned. This could also mean that they were second in rank of status or honor behind the gold bowls. It does not mean that the silver was of a different type than the silver in the basins described in [1:9](../01/09.md).
1:11	z55f			All the vessels of gold and of silver were 5400	1	This expression means that the total number of these gold and silver objects was **5,400**. Verses [1:9](../01/09.md) and [1:10](../01/10.md) actually list only 2,499 items, and it is not clear why the numbers are different. The explanation does not seem to be that the total here includes other miscellaneous items because the last item on the list itself is other vessels. It would probably be best simply to report this total without calling attention to the difference and trying to explain it, since there is no clear reason for it.
1:11	i30r		rc://*/ta/man/translate/figs-idiom	Sheshbazzar brought up all this with the going up of the exiles from Babylon to Jerusalem	1	Like the similar expression in [1:3](../01/03.md), here the book says **brought up** and **going up** because the Jews had to travel from a river valley up into the mountains to return from exile to Jerusalem. Alternate translation: “Sheshbazzar brought all these vessels along when he traveled to Jerusalem with the group of Jews who had been taken away from their homeland but who were now returning from Babylon to Jerusalem”
1:11	kt84		rc://*/ta/man/translate/figs-abstractnouns	the exiles	1	The abstract noun **exiles** refers, in this context, to the community of Jews who were living in Babylon because the Babylonians had relocated them away from their homeland when they conquered Jerusalem. If it would be helpful in your language, you could translate the idea behind this term with an equivalent phrase. Alternate translation: “the group of Jews who had been taken away from their homeland”
