Reference	ID	Tags	SupportReference	Quote	GLQuote	Occurrence	Note
6:45	l338		rc://*/ta/man/translate/figs-metaphor	ἐκ & περισσεύματος καρδίας λαλεῖ τὸ στόμα αὐτοῦ		3	In this expression as well, the **heart** represents the thoughts and emotions. Alternate translation: “what a person is thinking and feeling is expressed in what he says”
6:45	jc6z		rc://*/ta/man/translate/figs-synecdoche	ἐκ & περισσεύματος καρδίας λαλεῖ τὸ στόμα αὐτοῦ		3	The phrase **his mouth** represents the person as a whole, in the action of speaking. Alternate translation: “what a person is thinking and feeling comes out in what he says”
9:58	r7vq		rc://*/ta/man/translate/figs-123person	ὁ & Υἱὸς τοῦ Ἀνθρώπου		2	**Jesus** is speaking about himself in the third person. If it would be helpful in your language, you could translate this in the first person. Alternate translation: “I, the Son of Man”
9:58	l535		rc://*/ta/man/translate/figs-explicit	ὁ & Υἱὸς τοῦ Ἀνθρώπου		2	See how you translated the title **Son of Man** in [5:24](../05/24.md). Alternate translation: “I, the Messiah”
10:16	g3fx		rc://*/ta/man/translate/figs-metaphor	ὁ & ἐμὲ ἀθετῶν, ἀθετεῖ τὸν ἀποστείλαντά με		3	You could also translate this metaphor as a simile. Alternate translation: “when someone rejects me, it is as if they were rejecting the one who sent me”
13:7	l854		rc://*/ta/man/translate/figs-quotesinquotes	εἶπεν & πρὸς τὸν ἀμπελουργόν, ἰδοὺ, τρία ἔτη ἀφ’ οὗ ἔρχομαι ζητῶν καρπὸν ἐν τῇ συκῇ ταύτῃ, καὶ οὐχ εὑρίσκω. ἔκκοψον αὐτήν, ἵνα τί καὶ τὴν γῆν καταργεῖ?		1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “he told the gardener to pay attention, that he had been coming for three years to look for fruit on the fig tree, but he had not found any, and so the gardener should cut the tree down because it was keeping the ground from being productive.”
15:19	m009		rc://*/ta/man/translate/figs-quotesinquotes	οὐκέτι εἰμὶ ἄξιος κληθῆναι υἱός σου. ποίησόν με ὡς ἕνα τῶν μισθίων σου		1	If it would be helpful in your language, you could translate this so that it is not a quotation within a quotation within a quotation. Alternate translation: “He decided he would tell his father that he did not deserve to be his son any more, but that he hoped his father would hire him as one of his servants”
16:7	m060		rc://*/ta/man/translate/figs-quotesinquotes	ὁ δὲ εἶπεν, ἑκατὸν κόρους σίτου. λέγει αὐτῷ, δέξαι σου τὰ γράμματα καὶ γράψον ὀγδοήκοντα		1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “He told the manager that he owed 100 cors of wheat. The manager told him to take his bill and change that to 80 cors”
16:25	m085		rc://*/ta/man/translate/figs-quotesinquotes	εἶπεν δὲ Ἀβραάμ, τέκνον, μνήσθητι ὅτι ἀπέλαβες τὰ ἀγαθά σου ἐν τῇ ζωῇ σου, καὶ Λάζαρος ὁμοίως τὰ κακά. νῦν δὲ ὧδε παρακαλεῖται, σὺ δὲ ὀδυνᾶσαι		1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “But Abraham, addressing the rich man as his descendant, told him to remember that he had received good things in his lifetime, while Lazarus had received bad things in his lifetime, but now Lazarus was receiving comforts with him, while the rich man was suffering greatly”
22:44	m558		rc://*/ta/man/translate/translate-textvariants	Καὶ γενόμενος ἐν ἀγωνίᾳ ἐκτενέστερον προσηύχετο. καὶ Ἐγένετο ὁ ἱδρὼς αὐτοῦ ὡσεὶ θρόμβοι αἵματος καταβαίνοντες ἐπὶ τὴν γῆν		1	See the discussion of textual issues at the end of the General Notes to this chapter to decide whether to include this verse in your translation. The two notes below discusses translation issues in this verse, for those who decide to include it.
23:3	m600		rc://*/ta/man/translate/figs-hendiadys	ὁ & ἀποκριθεὶς αὐτῷ ἔφη		3	Together the two words **answering** and **said** mean that Jesus responded to what Pilate asked him. Alternate translation: “Jesus responded”
23:34	m641		rc://*/ta/man/translate/translate-textvariants	But Jesus said, “Father, forgive them, for they do not know what they are doing”		0	See the discussion of textual issues at the end of the General Notes to this chapter to decide whether to include this sentence in your translation. The next four notes below discuss translation issues in the sentence, for those who decide to include it.
23:34	m643		rc://*/ta/man/translate/grammar-connect-logic-result	Father, forgive them, for they do not know what they are doing		0	If it would be helpful in your language, you could reverse the order of the phrases in Jesus’ prayer, since the first phrase gives the reason for the result that Jesus is requesting in the second phrase. Alternate translation: “Father, they do not know what they are doing, so please forgive them”
23:34	m644		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Father		0	**Father** is an important title for God.
23:34	m645		rc://*/ta/man/translate/figs-imperative	forgive them		0	This is an imperative, but it should be translated as a request, rather than as a command. It may be helpful to add an expression such as “please” to make this clear. Alternate translation: “please forgive them”
