Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	e3di				0	# Introduction to Ephesians\n\n## Part 1: General Introduction\n\n### Outline of Ephesians\n\n1. Greeting and prayer for the spiritual blessings in Christ (1:1–23)\n1. Sin and salvation (2:1–10)\n1. Unity and peace (2:11–22)\n1. Mystery of Christ in the believers, made known (3:1–13)\n1. Prayer for riches of his glory to make the believers strong (3:14–21)\n1. Unity of the Spirit, building up the Body of Christ (4:1–16)\n1. New life (4:17–32)\n1. Imitators of God (5:1–21)\n1. 1 Wives and husbands; children and parents; slaves and masters (5:22–6:9)\n11. Armor of God (6:10–20)\n1. Final greeting (6:21–24)\n\n### Who wrote the Book of Ephesians?\n\nPaul wrote Ephesians. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.\n\nThe Apostle Paul helped start the church in Ephesus on one of his trips. He also lived in Ephesus for a year and a half and helped the believers there. Paul probably wrote this letter while he was in prison in Rome.\n\n### What is the Book of Ephesians about?\n\nPaul wrote this letter to the Christians in Ephesus to explain God’s love for them in Christ Jesus. He described the blessings that God was giving them because they were now united with Christ. He explained that all believers are united together, whether Jew or Gentile. Paul also wanted to encourage them to live in a way that pleases God.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “Ephesians.” Or they may choose a clearer title, such as “Paul’s Letter to the Church in Ephesus” or “A Letter to the Christians in Ephesus.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the “mystery” in the book of Ephesians?\n\nThe expression translated in the ULT as “mystery” or “hidden” occurs six times. By it, Paul always meant something that God had to reveal to human beings because they could not know it on their own. It always referred to something about how God planned to save mankind. Sometimes it was about his plan to bring about peace between himself and mankind. Sometimes it was more specifically about his plan to save both Jews and Gentiles by uniting them through Christ. This hidden truth was that Gentiles are now able to benefit from the promises of Christ as equals with the Jews.\n\n### What did Paul say about salvation and righteous living?\n\nPaul said much about salvation and righteous living in this letter and in many of his letters. He said that God has been very kind and saved Christians because they believe in Jesus. Therefore, after they become Christians, they should live in a righteous way to show that they have faith in Christ. (See: [[rc://*/tw/dict/bible/kt/righteous]])\n\n## Part 3: Important Translation Issues\n\n### Singular and plural “you”\n\nIn this book, the word “I” refers to Paul. The word “you” is almost always plural and refers to the believers who may read this letter. The three exceptions to this are: 5:14, 6:2, and 6:3. (See: [[rc://*/ta/man/translate/figs-you]])\n\n### What did Paul mean by the “new self” or the “new man”?\n\nWhen Paul spoke of the “new self” or the “new man,” he meant the new nature that a believer receives from the Holy Spirit. This new nature was created in God’s image (See: 4:24). The phrase “new man” is also used for God bringing about peace between Jews and Gentiles. God brought them together as one people group that belong to him (See: 2:15).\n\n### How are the ideas of “holy” and “sanctify” represented in Ephesians in the ULT?\n\nThe scriptures use such words to indicate any one of several ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, the ULT uses the following principles:\n* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the use of “holy” to express the fact that God views Christians as sinless because they are united to Jesus Christ. Another use of “holy” is to express the idea that God is perfect and faultless. A third use is to express the idea that Christians are to conduct themselves in a blameless, faultless manner in life. In these cases, the ULT uses “holy,” “holy God,” “holy ones,” or “saints.” (See: 1:1, 4)\n* Sometimes the meaning in a passage indicates a simple reference to Christians without implying any particular role filled by them. In these cases, the ULT uses “saint” or “saints.”\n* Sometimes the meaning in a passage implies the idea of someone or something set apart for God alone. In these cases, the ULT uses “set apart,” “dedicated to,” or “reserved for.” (See: 3:5)\n\nThe UST will often be helpful as translators think about how to represent these ideas in their own versions.\n\n### What did Paul mean by the expression “in Christ,” “in the Lord,” etc.?\n\nThis kind of expression occurs in 1:1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 15, 20; 2:6, 7, 10, 13, 15, 16, 18, 21, 22; 3:5, 6, 9, 11, 12, 21; 4:1, 17, 21, 32; 5:8, 18, 19; 6:1, 10, 18, 21. Paul meant to express the idea of a very close union between Christ and the believers. Please see the introduction to the book of Romans for more details about this kind of expression.\n\n### What are the major issues in the text of the book of Ephesians?\n\n* “in Ephesus” (1:1). Some of the earliest manuscripts do not include this phrase. It is likely that Paul intended this letter to be read in many churches, including Ephesus and many other cities. He may have originally left a blank space for the city name to be filled in by those copying the letter and carrying it to different cities. But “Ephesus” is the only name found on manuscripts that have a city name. Therefore, the ULT, UST, and many modern versions include it.\n* “because we are members of his body” (5:30). Most modern versions, including the ULT and UST, read in this way. Some older versions read, “because we are members of his body and of his bones.” Translators might decide to choose the second reading if other versions in their area have it that way. If translators choose the second reading, they should put the additional words inside square brackets ([]) to indicate that they are probably not original to the book of Ephesians.\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	fg42				0	# Ephesians 1 General Notes\n\n## Structure and Formatting\n\n### “I pray”\n\nPaul structures part of this chapter like a prayer of praise to God. But Paul is not just talking to God. He is teaching the church in Ephesus. He also tells the Ephesians how he is praying for them.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Predestination\n\nMany scholars believe this chapter teaches on a subject known as “predestination.” See the use of the word “predestine” in 1:5, 11. Some scholars take this to indicate that God has, from before the foundation of the world, chosen some people to save. Christians have different views on what the Bible teaches on this subject, so translators need to take extra care when translating this chapter. (See: [[rc://*/tw/dict/bible/kt/predestine]])
1:1	kx1g		rc://*/ta/man/translate/figs-you		0	# General Information:\n\nPaul names himself as the writer of this letter to the believers in the church at Ephesus (and elsewhere). Except where noted, all instances of “you” and “your” refer to the Ephesian believers as well as to all believers, and so are plural.
1:1	ilf2			Paul, an apostle of Christ Jesus & to the saints, the ones being	1	Your language may have a particular way of introducing the author of a letter and the intended audience. Alternate translation: “I, Paul, an apostle of Jesus Christ … write this letter to you, God’s holy people”
1:1	u73p		rc://*/ta/man/translate/figs-metaphor	in Christ Jesus	1	The phrase **in Christ Jesus** and similar expressions are metaphors that frequently occur in the New Testament letters. They express the strongest kind of relationship possible between Christ and those who believe in him, picturing believers as being surrounded by Christ. Alternate translation: “in close relationship to Christ Jesus”
1:2	x9ey			Grace to you and peace	1	This is a common greeting and blessing that Paul often uses in the beginning of his letters. Use a form in your language that makes it clear that this is a greeting and blessing.
1:3	lm67		rc://*/ta/man/translate/figs-exclusive		0	# General Information:\n\nIn this book, unless otherwise stated, the words “us” and “we” refer to Paul, the believers in Ephesus, and all believers.
1:3	zdh3				0	# Connecting Statement:\n\nPaul opens his letter by talking about the believers’ position and their safety before God.
1:3	g6sj		rc://*/ta/man/translate/figs-activepassive	Blessed {be} the God and Father of our Lord Jesus Christ	1	If your language does not use this passive form, you can state this in active form. Alternate translation: “Let us praise the God and Father of our Lord Jesus Christ”
1:3	cr9h			the one having blessed us	1	Alternate translation: “for God has blessed us”
